p_game,p_strikeout,batting_avg,slg_percent,on_base_percent,p_era,winning?
26,56,0.217,0.401,0.326,2.91,No
26,50,0.261,0.403,0.338,3.99,No
61,57,0.226,0.349,0.294,3.78,No
27,21,0.241,0.343,0.328,5.59,No
27,80,0.242,0.373,0.312,3.46,No
27,159,0.218,0.348,0.278,3.15,No
54,65,0.213,0.289,0.304,2.82,No
27,26,0.277,0.515,0.327,5.6,No
63,89,0.195,0.285,0.292,3.45,No
69,77,0.189,0.299,0.32,3.45,No
27,158,0.234,0.332,0.289,3.03,No
27,30,0.227,0.418,0.323,7.22,No
28,176,0.209,0.338,0.265,2.69,No
28,125,0.265,0.408,0.317,3.37,No
28,44,0.143,0.184,0.267,1.86,No
28,24,0.263,0.505,0.381,7.23,No
74,64,0.238,0.316,0.351,3.42,No
28,158,0.227,0.353,0.28,3.04,No
28,185,0.205,0.324,0.304,3.16,No
41,30,0.278,0.489,0.351,5.51,No
28,195,0.165,0.3,0.26,2.81,No
57,38,0.292,0.448,0.356,3.4,No
28,30,0.343,0.619,0.391,8.37,No
28,234,0.201,0.273,0.248,2.43,No
29,85,0.286,0.483,0.37,6.43,No
29,25,0.313,0.487,0.419,5.46,No
29,144,0.265,0.405,0.32,3.82,No
29,163,0.243,0.432,0.318,4.41,No
29,117,0.269,0.48,0.322,4.48,No
67,99,0.193,0.386,0.235,3.12,No
29,128,0.275,0.466,0.332,5.47,No
35,50,0.304,0.494,0.352,4.9,No
29,19,0.229,0.354,0.312,4.56,No
29,25,0.326,0.545,0.396,6.97,No
42,37,0.143,0.195,0.207,0.67,No
29,114,0.248,0.444,0.336,4.43,No
30,120,0.252,0.434,0.29,4.16,No
59,61,0.214,0.381,0.262,3.92,No
30,122,0.288,0.511,0.34,5.79,No
30,243,0.223,0.372,0.267,3.23,No
30,150,0.256,0.487,0.317,5.83,No
30,32,0.287,0.478,0.353,4.28,No
30,20,0.19,0.27,0.293,3.38,No
55,53,0.183,0.32,0.295,2.73,No
30,162,0.25,0.38,0.307,3.83,No
30,118,0.234,0.418,0.297,3.71,No
42,48,0.247,0.373,0.319,4.04,No
30,72,0.279,0.497,0.334,5.32,No
31,155,0.234,0.363,0.305,3.71,No
61,69,0.252,0.402,0.31,3.07,No
31,28,0.28,0.44,0.324,5.4,No
57,50,0.195,0.268,0.274,1.51,No
31,201,0.219,0.394,0.276,3.53,No
31,125,0.268,0.414,0.309,3.61,No
31,36,0.254,0.406,0.348,5.75,No
31,79,0.248,0.436,0.358,4.56,No
31,23,0.311,0.476,0.397,4.01,No
31,27,0.124,0.216,0.216,1.55,No
31,25,0.25,0.462,0.358,6.26,No
32,174,0.22,0.352,0.274,3.05,No
67,58,0.264,0.411,0.328,4.15,No
32,38,0.217,0.317,0.352,5.63,No
32,195,0.253,0.402,0.293,3.75,No
38,29,0.178,0.287,0.259,3,No
32,146,0.278,0.499,0.334,5.15,No
51,41,0.233,0.399,0.319,3.16,No
32,248,0.21,0.401,0.266,2.84,No
32,207,0.232,0.372,0.293,3.37,No
32,185,0.277,0.437,0.327,4.74,No
32,203,0.213,0.364,0.286,3.18,No
45,44,0.266,0.521,0.337,6.33,No
71,87,0.198,0.403,0.29,3.44,No
32,87,0.291,0.451,0.344,5.07,No
32,204,0.223,0.38,0.28,3.52,No
32,55,0.233,0.408,0.333,3.38,No
34,34,0.202,0.298,0.252,3.24,No
48,47,0.26,0.475,0.369,7.55,No
32,226,0.223,0.364,0.305,3.91,No
32,31,0.268,0.545,0.357,6.35,No
32,36,0.234,0.5,0.368,6.48,No
62,49,0.245,0.394,0.317,4.39,No
33,158,0.242,0.362,0.29,3.02,No
33,227,0.21,0.345,0.263,2.81,No
5,30,0.168,0.347,0.21,4.05,Yes
7,23,0.2,0.324,0.306,2.15,Yes
9,52,0.269,0.419,0.333,3.16,Yes
68,86,0.233,0.367,0.309,3.63,Yes
64,42,0.209,0.372,0.247,2.94,Yes
70,68,0.223,0.424,0.295,4.73,Yes
65,85,0.256,0.425,0.347,4.73,Yes
14,123,0.176,0.319,0.241,2.66,Yes
56,53,0.258,0.454,0.336,4.53,Yes
15,146,0.129,0.242,0.16,1.08,Yes
15,65,0.202,0.369,0.314,3.23,Yes
15,29,0.243,0.313,0.351,3.64,Yes
58,68,0.196,0.38,0.253,2.62,Yes
16,22,0.202,0.37,0.305,4.19,Yes
16,134,0.229,0.373,0.299,3.17,Yes
17,137,0.182,0.374,0.257,2.59,Yes
17,85,0.199,0.364,0.276,3.22,Yes
60,78,0.176,0.352,0.294,4.07,Yes
19,74,0.232,0.393,0.303,4.31,Yes
20,90,0.218,0.406,0.255,3.62,Yes
20,127,0.192,0.314,0.29,3.22,Yes
21,29,0.25,0.435,0.352,4.71,Yes
21,113,0.258,0.433,0.32,4.66,Yes
21,38,0.219,0.4,0.308,4.94,Yes
22,88,0.265,0.453,0.299,3.62,Yes
22,88,0.263,0.469,0.333,4.74,Yes
22,34,0.262,0.423,0.302,5.61,Yes
73,95,0.183,0.302,0.248,3.02,Yes
23,30,0.237,0.331,0.328,3.52,Yes
65,72,0.248,0.435,0.328,3.94,Yes
53,54,0.229,0.342,0.284,2.51,Yes
54,75,0.211,0.405,0.267,3.31,Yes
62,85,0.181,0.31,0.265,2.14,Yes
23,92,0.322,0.477,0.398,6.17,Yes
23,156,0.207,0.351,0.285,3.18,Yes
23,139,0.233,0.413,0.31,4.3,Yes
57,75,0.212,0.399,0.347,5.26,Yes
24,123,0.233,0.43,0.301,4.07,Yes
24,117,0.215,0.356,0.28,3.19,Yes
55,61,0.227,0.429,0.339,3.06,Yes
24,124,0.221,0.371,0.297,3.58,Yes
24,82,0.29,0.491,0.356,6.63,Yes
24,128,0.241,0.425,0.29,4.68,Yes
