@relation ML_Quarter_1_Labeled_SelfSelected-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V

@attribute p_k_percent numeric
@attribute p_bb_percent numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute on_base_percent numeric
@attribute hard_hit_percent numeric
@attribute winning? {No,Yes}

@data
24.4,7.1,0.279,0.461,0.327,43.5,No
19.3,6.7,0.234,0.418,0.297,40,No
19.7,8.5,0.245,0.415,0.316,41,No
26,12.2,0.209,0.309,0.314,34.8,No
23.2,8.4,0.232,0.42,0.299,33.8,No
19.7,8.2,0.178,0.287,0.259,28.2,No
19.5,9.7,0.226,0.376,0.325,36.5,No
25,6.1,0.218,0.348,0.278,33.2,No
17,15.2,0.309,0.543,0.411,36.8,No
21.2,8.6,0.253,0.491,0.325,38.5,No
13.5,7.3,0.281,0.6,0.348,49.6,No
23.9,10.3,0.235,0.431,0.316,35.5,No
20.1,6.1,0.344,0.613,0.38,38.2,No
17.6,10.8,0.364,0.784,0.431,50,No
34,12.1,0.176,0.286,0.298,27.8,No
23,8,0.277,0.515,0.327,33.3,No
27.1,7.2,0.213,0.364,0.286,38.5,No
13.7,7.5,0.322,0.596,0.373,38.2,No
31.9,9.6,0.223,0.364,0.305,38.8,No
21,8.9,0.227,0.374,0.298,34.5,No
31.8,5.6,0.228,0.4,0.272,25.6,No
27.5,13.3,0.238,0.416,0.342,30,No
25.8,8.6,0.27,0.504,0.336,39.8,No
34.6,6.7,0.189,0.306,0.253,36.2,No
20.8,8.4,0.285,0.489,0.351,40.2,No
21.7,8.1,0.275,0.466,0.332,40.6,No
21.9,10.1,0.22,0.327,0.313,44.4,No
14.3,5.9,0.248,0.385,0.303,31.5,No
28.4,13.5,0.249,0.449,0.349,47.2,No
27.9,8.7,0.229,0.357,0.297,28.4,No
13.4,14.6,0.246,0.405,0.376,36.1,No
20.9,8.5,0.287,0.478,0.353,37.5,No
22.4,11,0.28,0.524,0.362,39,No
18.8,10.9,0.295,0.534,0.386,33.3,No
20.9,9.5,0.214,0.389,0.297,28.7,No
30.2,16.1,0.211,0.379,0.347,30.8,No
22.7,4.4,0.224,0.427,0.263,37.8,No
22.2,7.8,0.293,0.455,0.348,39.6,No
19.9,9.7,0.28,0.589,0.352,46.7,No
23.7,6.1,0.227,0.353,0.28,34.3,No
11.8,5.3,0.31,0.554,0.346,55.6,No
27.9,7.2,0.219,0.394,0.276,34.2,No
16.3,5.5,0.275,0.424,0.32,39.3,No
16.4,11.2,0.316,0.515,0.397,47.1,No
24,11,0.216,0.311,0.307,45.4,No
25.9,9.9,0.215,0.349,0.3,35.4,No
22.8,10,0.195,0.268,0.274,40,No
22,7.7,0.252,0.402,0.31,34.7,No
25.4,14.2,0.189,0.299,0.32,33.9,No
23.2,9.2,0.21,0.366,0.28,49.2,No
30,16.4,0.176,0.294,0.315,34.5,No
23.8,8.7,0.286,0.482,0.357,45.9,No
22.4,3.6,0.276,0.461,0.305,39.2,No
29,5.4,0.192,0.365,0.237,41.1,No
14.9,5.7,0.319,0.534,0.366,51.1,No
32.2,7.3,0.194,0.354,0.266,38.6,No
16.8,6.6,0.291,0.451,0.344,39.3,No
34.6,8.9,0.195,0.285,0.292,26.5,No
22.2,10.2,0.234,0.446,0.329,48.6,No
22.8,11,0.214,0.411,0.307,39.8,No
20.3,8.4,0.27,0.439,0.338,42.9,No
23.6,8.2,0.316,0.469,0.391,48.6,No
25.8,9,0.226,0.349,0.294,35.2,No
15.9,10.3,0.296,0.409,0.383,40.5,No
20.9,9.5,0.247,0.424,0.32,38.3,No
29.4,7.3,0.237,0.433,0.312,47,No
17.5,11,0.307,0.538,0.386,39.9,No
15.5,15.5,0.221,0.365,0.349,50,No
21.7,13.4,0.26,0.475,0.369,35,No
17.1,8,0.245,0.394,0.317,38,No
26.5,6,0.234,0.332,0.289,38.8,No
23.6,6.2,0.265,0.529,0.316,39.4,No
39.4,9.1,0.176,0.339,0.25,40.9,No
20.1,7.2,0.291,0.436,0.34,43.3,No
22.6,12.8,0.233,0.408,0.333,44.8,No
21.6,4.8,0.269,0.445,0.301,42.7,No
26.2,5.1,0.219,0.349,0.263,30.3,No
21.2,10.9,0.276,0.501,0.361,37.1,No
23.1,11.6,0.251,0.404,0.34,39.2,No
27.5,6.2,0.233,0.385,0.292,33.3,No
19.3,6.2,0.255,0.429,0.306,39.2,No
15.3,9.7,0.33,0.514,0.403,44,No
27.5,6.7,0.217,0.386,0.273,36.1,No
21.5,9.9,0.308,0.423,0.388,33.8,No
35.6,5.2,0.201,0.273,0.248,30.5,No
21.5,12,0.252,0.445,0.355,37.2,No
27.7,8.4,0.234,0.396,0.306,34.9,No
24,10.9,0.268,0.545,0.357,36.6,No
17.1,13.6,0.252,0.37,0.364,31.6,No
27.5,11.7,0.194,0.383,0.293,42.3,No
25.3,5,0.258,0.489,0.296,42.2,No
14.6,9.3,0.241,0.436,0.318,42.5,No
17.4,9.2,0.229,0.354,0.312,35.9,No
17.2,11.2,0.19,0.27,0.293,38.3,No
26.9,6.7,0.224,0.418,0.282,43.6,No
21.7,9.4,0.298,0.496,0.384,52.7,No
21.8,11.7,0.233,0.399,0.319,28.8,No
21.6,11,0.216,0.31,0.31,33.8,No
14,7.6,0.307,0.474,0.364,41.8,No
22.4,11.2,0.254,0.406,0.348,40.4,No
24.1,7.4,0.278,0.536,0.343,47.2,No
15,9.4,0.292,0.504,0.362,44.2,No
17.8,5.6,0.234,0.31,0.294,38.2,No
22.5,13.3,0.201,0.332,0.321,37.5,No
23.3,15.8,0.247,0.505,0.392,47.8,No
31.4,5.4,0.193,0.386,0.235,43.7,No
18.1,8.1,0.256,0.538,0.322,43.7,No
11.8,3.8,0.233,0.395,0.262,30,Yes
15.6,5.7,0.344,0.58,0.383,48.2,Yes
27.1,8.3,0.192,0.267,0.256,41.9,Yes
31.1,8.8,0.175,0.364,0.247,46.4,Yes
23.2,9.9,0.221,0.371,0.297,38.7,Yes
19.9,8.2,0.261,0.406,0.32,36.5,Yes
25.4,5.6,0.241,0.425,0.29,44.6,Yes
14.5,8.8,0.285,0.478,0.346,37.2,Yes
24,6,0.223,0.365,0.276,39.4,Yes
19.6,8,0.193,0.285,0.258,30.1,Yes
20,7.6,0.257,0.395,0.319,31.8,Yes
22.3,9.4,0.228,0.316,0.302,36.5,Yes
28.7,18,0.235,0.336,0.38,34.6,Yes
17.8,8,0.272,0.428,0.334,35,Yes
17,2.3,0.327,0.55,0.344,39.4,Yes
24.3,4.2,0.196,0.33,0.234,46.2,Yes
17.5,10.4,0.222,0.406,0.301,36.1,Yes
29.3,8.3,0.207,0.351,0.285,39.9,Yes
