@relation 'ML_Quarter_1_Labeled-weka.filters.unsupervised.attribute.Remove-R1-3,5-15,18-24'

@attribute p_strikeout numeric
@attribute exit_velocity_avg numeric
@attribute launch_angle_avg numeric
@attribute p_win numeric
@attribute p_loss numeric
@attribute winning? {No,Yes}

@data
85,83.3,10.4,6,5,Yes
13,92.1,18.9,0,2,No
40,86.8,24.9,3,1,Yes
40,84.6,12.6,1,3,No
44,91.6,17.1,3,1,Yes
23,92.6,23,1,0,Yes
41,91.2,11.6,2,4,No
40,86.9,5.3,1,0,Yes
58,92.3,10.2,2,3,No
23,88.6,10.7,1,2,No
52,89.1,15.4,2,1,Yes
62,90.1,14.5,3,6,No
113,88,11.8,9,9,No
84,89.8,18,6,5,Yes
29,88.4,24.9,0,2,No
30,89.1,11.4,1,2,No
175,89.7,16.7,9,8,Yes
91,88.3,14.6,5,3,Yes
159,87.6,12.5,12,4,No
19,90.5,20.8,0,2,No
40,86.7,6.7,7,3,Yes
84,89.2,14.9,2,9,No
64,87.7,12.7,2,4,No
30,85.8,26,2,0,Yes
21,84.4,16.5,1,1,No
114,89.8,11,6,12,Yes
73,86.7,12.1,5,6,No
18,94.7,21.2,2,2,No
78,87.1,-6.5,8,4,Yes
105,87.1,1.4,10,6,No
112,89.7,5.7,3,14,Yes
26,87.3,12.9,0,2,No
28,87.2,9.3,2,1,Yes
203,87.8,11.6,11,9,No
223,88.9,14.4,9,9,No
23,86.5,13.6,3,0,Yes
85,89.1,12.3,7,1,Yes
109,87.6,12.2,5,9,No
170,89.8,13.1,7,6,Yes
63,87.6,13.8,5,1,Yes
66,87.9,14.5,3,7,No
44,88.2,6.2,4,2,Yes
39,87.9,11.9,4,3,Yes
62,86.8,24,3,5,No
211,86.2,10.6,9,10,Yes
95,89,20.7,6,5,Yes
42,86.7,5.9,5,4,Yes
38,86.3,13.9,1,3,No
68,89.7,12.6,6,3,Yes
33,90,10.3,1,2,No
185,89.2,18.7,13,5,No
32,90.1,14.8,0,0,No
123,91.5,13,5,2,Yes
128,89.8,7.3,7,9,No
17,89.4,12.3,0,2,No
17,86.3,7.4,0,1,No
92,89.9,10.1,5,11,Yes
61,90.4,8.9,0,4,No
48,85.9,12.8,2,2,No
21,85.5,18.2,0,0,No
32,88.6,15.3,2,2,No
75,88.2,-10.9,5,5,No
105,88.4,11.4,7,8,No
31,83.7,13.9,0,2,No
60,87.3,13.4,3,4,No
55,89.2,9.7,4,3,Yes
