p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
22,103,15,144,21,29.5,4.3,0.224,0.374,0.26,48,3.55,49,291,3,88.1,9.8,31.7,6.9,37.3,8.7,L,36.8,90.6,No
28,166,17,125,50,18.1,7.2,0.265,0.408,0.317,61,3.37,58,397,3,85.7,8,31.8,6.1,34.2,4.1,L,64.1,86.6,No
66,56,9,60,21,23.2,8.1,0.238,0.404,0.305,32,4.67,39,198,1,84.9,17.4,35.2,7.4,23.3,5.9,R,33.4,85.5,No
67,79,13,83,13,23.4,3.7,0.235,0.384,0.268,30,3.06,40,239,1,88.4,8.3,27,5.9,36.1,5.2,R,69.6,91.2,Yes
39,62,8,45,14,21.4,6.7,0.32,0.526,0.367,30,5.87,38,123,2,89.9,8.2,42,6.7,42.7,6.5,R,19.9,85.1,No
69,55,5,71,35,25.7,12.7,0.239,0.374,0.351,29,4.21,32,241,2,86.1,11.8,31.9,4.9,30.1,6.8,R,49.8,94.7,Yes
53,53,8,62,20,23,7.4,0.218,0.358,0.286,30,4.11,28,160,4,85.6,22,30.1,7.1,33.9,6,R,45.5,90.7,Yes
29,74,12,85,35,28.6,11.8,0.286,0.483,0.37,45,6.43,41,192,5,90.6,12.7,38.1,11.9,45.5,7.1,L,58.6,91.6,No
22,114,17,88,21,19.2,4.6,0.265,0.453,0.299,44,3.62,44,297,5,91.2,15.3,33.4,8.9,46.7,7.3,R,54.2,90.6,Yes
67,53,2,42,19,15.8,7.1,0.217,0.279,0.271,17,2.37,23,180,6,86.4,8.3,29.9,2.5,32.8,10.4,L,61.8,90.9,Yes
50,47,5,34,8,19.7,4.6,0.297,0.462,0.335,22,4.99,33,119,1,87.9,9.5,29.7,5.5,35.2,8.8,R,62.6,86.3,No
28,156,26,149,41,22.3,6.1,0.252,0.447,0.302,89,5.05,82,422,3,88.5,16.5,35,9.3,35.9,6,L,42.8,90.9,Yes
31,158,17,155,64,20.6,8.5,0.234,0.363,0.305,75,3.71,63,480,3,88.8,7.4,29.2,4.6,38.9,5.1,R,61.4,91.7,No
18,85,5,98,33,24.9,8.4,0.24,0.336,0.308,39,3.76,40,296,7,88.9,3,32.4,4.2,37.5,5.8,R,46.7,92.7,Yes
35,108,19,92,25,20.2,5.5,0.256,0.46,0.295,52,4.27,52,335,1,89.6,17.4,39.8,11.6,43.3,7.6,R,55.2,89,No
71,44,8,83,25,31.2,9.4,0.192,0.332,0.282,24,3.34,28,196,2,88.3,19.2,27.8,6.6,35.1,9.4,R,55.9,93.5,Yes
9,42,4,32,14,19.3,8.4,0.286,0.422,0.343,27,6.57,26,116,2,88.3,6.9,30.3,6.7,40.3,7.1,R,54.4,88.2,No
13,27,2,30,11,25.6,9.4,0.257,0.39,0.325,10,3.42,9,73,0,88.1,12.2,32.9,2.6,38.2,7.5,L,67,90.8,No
14,51,10,35,20,16.3,9.3,0.268,0.521,0.344,36,6.75,28,135,0,85,13.5,34.4,8.9,35.7,5.6,R,57.2,90.1,No
39,58,6,51,20,22.7,8.9,0.287,0.455,0.351,28,5.07,27,150,1,89.1,11.2,32,6.5,42.5,8.3,L,56.6,93,Yes
19,87,12,58,38,14.4,9.5,0.247,0.415,0.321,32,3.07,40,232,9,89.1,8.7,30.9,7.3,38.2,8.5,R,55.1,93.9,No
39,29,2,39,27,25,17.3,0.232,0.352,0.378,20,5.63,22,109,1,87.4,13.9,37.9,5.7,32.2,6.4,R,65.1,94.8,No
30,138,28,199,44,29.2,6.5,0.222,0.429,0.279,78,4.22,74,504,3,88.2,16.6,35.1,8.8,34.9,8.9,R,64.3,90.2,Yes
67,68,8,58,23,20,7.9,0.264,0.411,0.328,30,4.15,40,164,11,90.6,4.4,30.2,8.8,41.5,6.7,R,100,90.7,No
26,134,24,124,39,20.2,6.4,0.242,0.439,0.3,76,4.67,77,424,6,88.8,18.5,38,7.5,38.5,8.6,L,70.7,88.2,Yes
74,61,2,64,41,20.8,13.3,0.238,0.316,0.351,26,3.42,45,239,6,84.9,9.7,28.4,6.1,32.7,5.9,R,60.8,90.1,No
67,47,10,83,34,31.7,13,0.211,0.39,0.324,26,3.86,33,195,3,90,16.6,37.6,10.6,39.7,7.2,L,66.9,95.3,No
13,52,6,65,22,25.8,8.7,0.226,0.357,0.294,17,2.51,17,150,2,89.5,17.7,39.4,6.7,40.6,5.9,L,55.6,93.7,Yes
