@relation ML_Quarter_1_Labeled_WrapperSubsetEval-Train

@attribute p_home_run numeric
@attribute p_strikeout numeric
@attribute p_walk numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute p_era numeric
@attribute winning? {No,Yes}

@data
6,31,14,0.214,0.389,4.04,No
7,60,32,0.211,0.379,5.6,No
30,134,26,0.224,0.427,3.62,No
8,60,21,0.293,0.455,4.38,No
11,39,19,0.28,0.589,5.77,No
15,158,41,0.227,0.353,3.04,No
11,27,12,0.31,0.554,7.64,No
27,201,52,0.219,0.394,3.53,No
23,125,42,0.275,0.424,4.24,No
14,63,43,0.316,0.515,6.83,No
4,61,28,0.216,0.311,3.18,No
11,94,36,0.215,0.349,3.62,No
2,50,22,0.195,0.268,1.51,No
9,69,24,0.252,0.402,3.07,No
7,77,43,0.189,0.299,3.45,No
8,63,25,0.21,0.366,3.05,No
9,95,52,0.176,0.294,3.24,No
5,30,11,0.286,0.482,6.99,No
15,99,16,0.276,0.461,4.17,No
9,65,12,0.192,0.365,4.11,No
8,26,10,0.319,0.534,5.87,No
9,75,17,0.194,0.354,2.78,No
16,87,34,0.291,0.451,5.07,No
3,89,23,0.195,0.285,3.45,No
11,48,22,0.234,0.446,4.5,No
5,29,14,0.214,0.411,3.56,No
9,65,27,0.27,0.439,4.33,No
2,26,9,0.316,0.469,5.16,No
2,57,20,0.226,0.349,3.78,No
4,34,22,0.296,0.409,5.6,No
17,92,42,0.247,0.424,4.66,No
4,32,8,0.237,0.433,4.74,No
12,43,27,0.307,0.538,6.58,No
2,20,20,0.221,0.365,4.97,No
9,47,29,0.26,0.475,7.55,No
7,49,23,0.245,0.394,4.39,No
9,158,36,0.234,0.332,3.03,No
13,53,14,0.265,0.529,4.18,No
10,104,24,0.176,0.339,3.06,No
4,39,14,0.291,0.436,4.98,No
9,55,31,0.233,0.408,3.38,No
15,99,22,0.269,0.445,5.07,No
19,195,38,0.219,0.349,2.96,No
25,111,57,0.276,0.501,5.48,No
9,68,34,0.251,0.404,3.55,No
11,115,26,0.233,0.385,3.07,No
16,87,28,0.255,0.429,3.81,No
4,19,12,0.33,0.514,8.49,No
14,103,25,0.217,0.386,2.9,No
1,26,12,0.308,0.423,7.11,No
7,234,34,0.201,0.273,2.43,No
13,75,42,0.252,0.445,4.82,No
